79.4;13.00406;7.9;-63;13.08559;64.4;47.8;7.1;7.2
79.4;13;7.9;-63;13.09;64.4;47.8;7.1;7.2
79.4;13;7.9;-63;13.09;64.4;47.89;7.1;7.2
79.4;13;7.8;-61.71;13.09;64.33;47.9;7.1;7.2
79.4;13;7.8;-62.18;13.09;64.3;47.9;7.1;7.2
79.34;13;7.8;-63;13.09;64.3;47.9;7.1;7.2
79.3;13;7.8;-63;13.09;64.3;47.84;7.1;7.2
79.25;13;7.8;-63;13.09;64.25;47.8;7.1;7.2
79.2;13;7.8;-63;13.09;64.15;47.75;7.1;7.2
79.15;13;7.8;-63;13.09;64.1;47.7;7.1;7.15
79.05;13;7.8;-63;13.09;64.05;47.7;7.1;7.05
79;13;7.8;-63;13.09;64;47.65;7.1;6.95
78.95;13;7.9;-63;13.09;63.95;47.55;7.1;6.75
78.85;13;7.9;-63;13.09;63.85;47.45;7.1;6.45
78.75;13;7.9;-63;13.09;63.75;47.4;7.1;6.2
78.65;13;7.9;-63;13.09;63.65;47.35;7.1;5.85
78.6;13;7.95;-63;13.09;63.55;47.25;7.1;5.45
78.55;13;8;-63;13.09;63.45;47.15;7.2;5.05
78.45;13;8;-63;13.09;63.35;47.1;7.2;4.8
78.35;13;8;-63;13.09;63.25;47.05;7.2;4.35
78.25;13;8;-63;13.09;63.15;46.95;7.2;3.8
78.15;13;8;-63;13.09;63.05;46.85;7.2;3.5
78.1;13.02;8;-63;13.09;62.95;46.8;7.2;3.05
78.05;13.04;8;-61.98;13.09;62.9;46.75;7.1;2.65
78;13.04;8;-62.02;13.09;62.85;46.65;7.1;2.45
77.95;13.04;8;-63;13.09;62.75;46.6;7.05;2.15
77.9;13.02;8;-63;13.09;62.65;46.55;6.95;1.85
77.9;13.02;8.05;-63;13.09;62.55;46.45;6.75;1.7
77.85;13.04;8.1;-63;13.09;62.45;46.4;6.45;1.5
77.85;13.04;8.1;-63;13.09;62.35;46.35;6.2;1.4
77.9;13.04;8.1;-63;13.09;62.3;46.3;5.7;1.4
77.9;13.02;8.2;-63;13.09;62.3;46.3;5.25;1.5
77.9;13.02;8.2;-61.98;13.09;62.25;46.3;4.95;1.6
77.85;13.02;8.2;-62.02;13.09;62.2;46.3;4.75;1.8
77.8;13.02;8.3;-63;13.09;62.2;46.35;4.6;1.95
77.8;13.02;8.3;-63;13.09;62.2;46.4;4.5;2.1
77.8;13;8.3;-63;13.09;62.2;46.4;4.5;2.2
77.8;12.94;8.4;-63;13.06;62.2;46.45;4.4;2.35
77.8;12.86;8.4;-63;13.02;62.25;46.5;4.4;2.45
77.8;12.84;8.45;-63;13;62.3;46.55;4.4;2.55
77.8;12.82;8.5;-63;12.98;62.35;46.65;4.4;2.65
77.8;12.8;8.5;-63;12.92;62.4;46.75;4.4;2.75
77.8;12.78;8.6;-63;12.92;62.45;46.85;4.4;2.8
77.85;12.76;8.6;-63;12.96;62.55;46.95;4.4;2.9
77.9;12.75947;8.6;-61.99;12.94;62.65;47.1;4.4;3
77.95;12.74;8.6;-61;12.92;62.75;47.25;4.4;3
78;12.72;8.6;-61;12.92;62.85;47.4;4.45;3.1
78.05;12.68;8.6;-61;12.92;62.95;47.55;4.5;3.2
